DAEMONITOR                                  Updated 22:13:20
8 processes   4.3 GB RSS   Core connected   Refresh 2s
TYPE                  PID      RSS↓      CPU  PROJECT       
Gradle daemon       43122    2.1 GB    42.5%  daemonitor-wi…
Kotlin daemon       43091    1.3 GB      n/a  daemonitor-wi…
Test worker         44001    400 MB      n/a  Worker 日本語 
Gradle wrapper      44002    200 MB      n/a  daemonitor-wi…
JAVA_GRADLE_REL…    44003    150 MB      n/a  —             
Gradle daemon       44004    100 MB      n/a  daemonitor-wi…
Kotlin daemon       44005     90 MB      n/a  —             
Test worker         44006     80 MB      n/a  —             
↑/↓ j/k select  s sort  space pause  r refresh  enter detai…
